opis,cena
"pasma:britanska kratkodlaka barva /spol: crem bicolur samèek skoten :23.8.2018, ime: Ike Kiki cattery *si oèe: Lord Kiki cattery*si, modra mati: Haily","<span>800,00 €</span>"
"Oddam mladega prijaznega mucka starega 13 tednov. Je puhast, navajen na maèje stranišèe, ljudi in otroke. Veè info na 041 250 112, Janja","<span>1,00 €</span>"
"Oddam prijaznega mladega mucka, starega 13 tednov. Navajen na maèje stranišèe, ljudi in otroke. Dodatne info na 041 250 112, Janja","<span>1,00 €</span>"
"Pred kratkim smo rešile maèje mladièe, ki so že bile pri veterinarju (razbolhanje, razglistenje in pregled) - muce (štirje maèaki in ena muca)bodo pred",Podarim
Oddamo dolgodlako notranjo muco po imenu stella.. Muca je stara nekje 4leta je stirilizirana in redno razgliscena ..rada ima otroke je obvezno notranja,"<span>1,00 €</span>"
"oddam 2 igriva maèja mladièa stara 2, 5 meseca Sta navajena na èistoèo 051364313",Podarim
"Najden mucek išèe dom. Lepi fant je zelo crkljiv, mehek in obožuje poležavanje v naroèju. Z veseljem bi ga sama obdržala, a že imam veè muckov in bi želela","<span>1,00 €</span>"
"Oddam mucko staro 1 leto, sterilizirano, navajeno bivanja samo notri. Zelim cimprej oddati ker se v trenutnem domu ne pociti uredu. Resena s ceste. Kontakt:",Po dogovoru
"Prelep in nežen pogled, skrbno negovan kožušèek in dolgi beli brkci. To je super muc LAN, s èudovitim karakterjem. Nov dom išèe skupaj s svojo sestrico",Po dogovoru
"Prijazna, nežna, z izredno mehkim èrno belim kožušèkom in prelepimi oèmi. To je LINA. Pridna mucka, tiha, ljubezniva, predvsem pa se rada stisne v naroèje.",Po dogovoru
"OLIVASMAGICTHAI mucke , 11 i 12 mesec stari, išèeju novega lastnika, ki bi radi niè manj, gledajo in se stisnila svojega tej družini, v kateri je odrašèal.","<span>150,00 €</span>"
"Prodam sijamsko maèko že 3 leta i 2 leta. Ona je cepljena, obrezana, ima potni list EU. Uèil se je, da živi v stanovanju / apartmaju (toaletni pesek, šèetin,","<span>150,00 €</span>"
"Podarim mlado mucko staro 5 mesecev. Je prijazna in igriva. Je brikete in konzerve ter pije vodo, oziroma tudi mleko. Biva zunaj, rada pa je tudi notri.",Podarim
"Dobrim ljudem, ljubiteljem živali, ki ste jim pripravljeni ponuditi prijazno zavetje in dom, podarimo ljubke, zdrave in živahne mucke, vajene bivanja v",Podarim
"Ljubeè, skrben in zavednodom dom išèe samèek po imenu Celestial Glow of Pinus Hill's*SI Skoten je bil 13.08.2018 staršema: oèe - Ozzy of Jurrasic Park*SK",Po dogovoru
Podarim 5 jesenskih muckov Okolica kranja Tel.: 040 428 611,Podarim
"Mica je mlada odrasla muca, ocenjeno stara 3 leta, ki ji življenje ni prizaneslo. K najditeljici se je zatekla shirana in vsa šibka, s slabo dlako, kar",Podarim
"Miša je mlada, lepa in prijazna muca, ki išèe nov dom. Zelo rada se carta, razume se z maèki, z maèkam prijaznim psom, z otroki in odraslimi. Je sobno",Podarim
"Loki in Lola sta maèja mladièa, ki sta pri meni že od svojega 5.tedna. Temu primerno sta zelo razvajena in zelo scartana. Sta tudi zelo živahna in radovedna",Po dogovoru
"Lubica in Miki sta se zatekla h gospe, ki ve, da ni dovolj maèke samo hraniti. Tako sta Lubica in Miki sterilizirana/kastriran, gospa jima redno odpravlja",Podarim
"Simpatièni Žan je bil skoten ocenjeno sredi junija. Je razglistan, razbolhan, testiran na Fiv in Felv (oboje neg.), cepljen, èipiran in kastriran. Žan",Po dogovoru
